,A1_CRRA190009494,A2_CRRA190009495,A3_CRRA190009496,A4_CRRA190009497,B1_CRRA190009498,B2_CRRA190009499,B3_CRRA190009500,B4_CRRA190009501,D1_CRRA190009506,D2_CRRA190009507,D3_CRRA190009508,D4_CRRA190009509
Slc8b1,405.3388,457.6557,477.9783,482.0505,596.2773,369.0328,454.3157,516.2832,334.5916,417.5661,463.5397,470.096
Tpcn1,2024.755,1901.725,1782.377,1881.652,2030.086,1864.734,2022.957,2157.461,2584.924,2743.877,2611.625,2538.718
Iqcd,25.21246,23.033,32.133,26.89552,35.5023,28.88893,48.29341,24.49519,30.60289,39.59679,36.87248,30.87495
Rita1,151.2748,146.2095,161.6691,162.4076,149.271,159.3551,176.1815,182.7718,154.0346,130.4894,147.4899,161.3465
Ddx54,1761.963,1584.27,1674.932,1653.04,1659.733,1661.58,1629.455,1678.863,1532.185,1528.076,1534.949,1565.659
Ccdc42b,0.9697101,1.001435,0,0,2.420611,1.863802,0,1.884245,0,0,1.053499,0
Rasal1,0,0,0,0,0,0,1.788645,0,0,0,0,0
Dtx1,0.9697101,0,0,6.206658,0,0,0,4.710614,0,0,2.106999,4.979831
Oas2,7.757681,5.007174,0,8.275544,18.55802,5.591406,5.365934,3.768491,8.160771,17.09861,11.58849,5.975797
Oas3,0,0,0,0,0,0,0,0,0,0,0,0
Oas1e,0.9697101,0,0,0,0,0,0,0,0,0,0,0
Oas1c,94.06188,91.13057,67.27846,76.54878,75.03896,54.98216,78.70037,74.42769,86.70819,126.8897,128.5269,108.5603
Oas1b,9.697101,1.001435,8.033249,8.275544,19.36489,18.63802,17.88645,8.479104,24.48231,16.19868,25.28399,15.93546
Oas1f,0,0,0,0,0,0,1.788645,0,1.020096,0.8999269,0,1.991932
Oas1h,0,0,0,0,0,0,0,0,0,0,0,0
Oas1g,0,0,0,0,0,0.931901,0,0,0,0,4.213998,0
Oas1a,0.9697101,2.00287,2.008312,3.103329,0,0,5.365934,3.768491,9.180868,0.8999269,2.106999,6.971763
Oas1d,0,0,0,0,0,0,0,0,0,0,0,0
Rph3a,0,0,0,0,0,0,0,0,0,0,0,0
Ptpn11,5878.382,5745.232,5833.143,6041.147,4853.326,5321.155,5549.27,5599.977,5604.41,5474.256,5327.547,5235.794
Rpl6,22299.45,23367.48,22977.1,22638.79,20680.9,21050.71,21246.42,23505.02,23717.24,24602.2,23941.83,25168.07
Gm15800,1868.631,2301.297,1705.057,2021.302,2451.273,2693.194,2504.103,2441.982,1876.977,1827.752,1729.846,2310.642
Trafd1,2369.002,2312.313,2510.39,2411.287,2736.098,2394.054,2470.118,2433.503,1868.817,1823.252,1852.052,1730.989
Naa25,761.2224,744.0661,710.9425,669.2846,747.1621,820.0729,707.409,738.6242,646.7411,695.6435,678.4536,717.0957
